Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P30612_101_S332_trimmed_R1.PwU.qtrim	77.27477939384914	51.0	147.5505444269398	18.181818181818183	119764371.0
P30612_101_S332_trimmed_R2.PwU.qtrim	80.77226021366914	52.0	147.64709173815976	27.27272727272727	119764371.0
P30612_102_S333_trimmed_R1.PwU.qtrim	78.39229770551994	52.0	148.50161521964858	18.181818181818183	127772096.0
P30612_102_S333_trimmed_R2.PwU.qtrim	82.52714142215527	53.0	148.56142046069277	27.27272727272727	127772096.0
P30612_103_S334_trimmed_R1.PwU.qtrim	81.16358782419042	53.0	147.21329489105892	18.181818181818183	103998009.0
P30612_103_S334_trimmed_R2.PwU.qtrim	84.91176277654326	53.0	147.32131927641038	27.27272727272727	103998009.0
P30612_104_S335_trimmed_R1.PwU.qtrim	81.32144086010766	53.0	147.75123677439854	18.181818181818183	109101749.0
P30612_104_S335_trimmed_R2.PwU.qtrim	85.65377915456568	53.0	147.83290585928188	27.27272727272727	109101749.0
P30612_105_S336_trimmed_R1.PwU.qtrim	83.2394192715162	53.0	147.56902378498327	18.181818181818183	114515069.0
P30612_105_S336_trimmed_R2.PwU.qtrim	87.22906219347303	53.0	147.67607367026955	27.27272727272727	114515069.0
P30612_106_S337_trimmed_R1.PwU.qtrim	83.18294116625485	53.0	147.60717346963102	18.181818181818183	98534717.0
P30612_106_S337_trimmed_R2.PwU.qtrim	87.56119611469582	53.0	147.6971007386158	27.27272727272727	98534717.0
P30612_107_S338_trimmed_R1.PwU.qtrim	76.57916239621903	52.0	148.83619910692545	18.181818181818183	103933542.0
P30612_107_S338_trimmed_R2.PwU.qtrim	81.1289472110955	53.0	148.8902432768047	27.27272727272727	103933542.0
P30612_108_S339_trimmed_R1.PwU.qtrim	77.92165600500797	52.0	149.36000948783666	18.181818181818183	109268323.0
P30612_108_S339_trimmed_R2.PwU.qtrim	82.97612022524156	53.0	149.39105779998107	27.27272727272727	109268323.0
P30612_109_S340_trimmed_R1.PwU.qtrim	79.38183843818554	52.0	148.1409851031043	18.181818181818183	103648440.0
P30612_109_S340_trimmed_R2.PwU.qtrim	83.93943859142561	53.0	148.21762635308355	27.27272727272727	103648440.0
P30612_110_S341_trimmed_R1.PwU.qtrim	79.26846913961958	53.0	147.45774567934626	18.181818181818183	94712693.0
P30612_110_S341_trimmed_R2.PwU.qtrim	84.25083708148293	53.0	147.5524726870558	27.27272727272727	94712693.0
P30612_111_S342_trimmed_R1.PwU.qtrim	82.98764905255555	53.0	146.0132727485468	18.181818181818183	101711563.0
